address,allocation
0x55ff029081be56bb68629ec8a83bef225f3ab4b5,692
0x84248ddd52c8d1ded2ebb5712b71764a3e07e768,694
0x54384e813145f49eb687e2f3893a10bf3d28f4e6,696
0x67928372e025316f5b21f8fea5029027eb7d7415,698
0x114e61172892bcdb24a293440758e33a81af56ba,700
0x8d02a0d569c4854da39e9b507bfa16ef14eec8ba,700
0x3f035f5e49875e3bcb5aaf675b3a1ac2a32b4225,703
0xbb7643e6680d8880ebbbd76ef6bf126a8ef09e02,704
0xf6f4d7e17ac987f91104d23f6d8b0e46239c3418,705
0xa6bdb7468f369f07048fc706259f8dc09d40816b,706
0xc4d80fbb52932ea650d258a4899055871f52f7cd,709
0xda2415150c5fb1c2373f3cd2ad8f6dbe18f56b64,713
0xef1ee3deb2252df88ffbb8fd8d49001762797d90,714
0x14b872e46c955b2b13b9c895d5ced192c1ce1bf9,716
0x8a8945ddb7a70f50593207c6c0c8db7d61b66386,720
0x9a18a43c7fed6034ddb71f86210fad06446785d4,722
0x09c162f70648ee99804f017fdbfc0f0f3a5bb4c7,725
0xafc621ddb2c8399cebff8642189fe7a17599b9c9,725
0x17f0abae993019ea3c0f25222e0a89abe99ca81f,726
0x2dd4497b2f6d07e120358e94f3ddf53bc2926d21,727
0xc768cd9da77632e7cda77e28e7beb08dc3f8d32e,732
0x4a481b3aa70d092303c06be59a6bbfd26290fe7d,734
0x5e65880648c3751e23a35e5fd4bc0953e88b339d,736
0xf01ec9f6208bf5248df557f3da5069ab0015038f,739
0xb7cb022b99e2a71ffd87b62c17058a8069af09bb,740
0x4e3f00487f61421af7e430d421ffdf119777bef5,740
0x36eac437b566e63ab354c324a12e451c03a34138,746
0x31e708d9dad92a5c25dbe6f6c4d17b53d735d4af,749
0x033ba0f5ac89da505f3d18e995ba0dd74c368345,752
0x2e10f351688e9651b180273e93b39bbd227230e0,754
0xcc551ecd4b0fba16aae88e094817a5abc22e6e79,758
0xd82ef39a6aebb4d3b0294ffd4daee9b89c28c655,768
0xb57c511e8851a9fc4e1c776f8980b8d2a97ae3a2,768
0x794d1b195d55457c3aad0248248a3cf8a1d08c84,772
0x0c26276011275e0d4712723bfdbc737ec54c3bc7,773
0x65ca951145a5b26a7102bfc0945b0acdcb3d80f4,774
0xe541c0c2804109866ba41ce50f728f58d65256a4,780
0x6d759203439792d1009010e9e3dcd15081983861,783
0x5d80e20bec64075164e371c2538cb72cb00dcdbf,784
0xa82ee3cdb023f21a38058abafa682902c910d4cf,792
0x7b5d76b901e77a3c59633c2de3c0fc47a767c394,795
0x1f5989c252e1e6224314fbf2b2a242e4b3be04a1,796
0x133b05eafe2b7be1882b11d44bb629250c8d9149,797
0xbb46af76279de70e9b54488672c470f4b53ff398,808
0x9bb85cb0ee61f632986f6e96395f94f4acbd657c,811
0x4eb7716654b9140435ad0206dd44baca075f2a42,815
0x6e1ed055d446e9e85f04228db24772dd45d8e92a,824
0x8f75a05326821a21d831bc54e5fbefc3562faf80,825
0xe477f368256abe4ef0f3a53135d4079534cd71cd,826
0xd7731bfff6860450f6a63348a1d6234081f05450,839
0xddccba10c53f50c5e653f9d287859a080c3e3b21,844
0x32caf5aa765079480910b96ba169a779894cd051,850
0xb8f44621fe8c131e95c96169e9ede21e53cd6479,855
0x4a2c8f889894d63382888f8e340f1793e047fdf4,864
0xb8ae961bdb8937030e47b8de376704ed17a9d278,867
0xb57350fb962b7bd203c4051bd994bf13eb30f9f5,870
0xeae800c6c589881f774f8add539fd718f3e28743,875
0x607ef921e174f209fec3adb8ad956b0e6ecadf3d,886
0x6a798165ff626d81b7ae708fdf1eb61f04198b32,887
0x2106f698f94715aeb73b524696b54a6a5d784e7b,894
0x44e9d011df8741be2493e99297e9ad67bb1aa85b,897
0xd0b2a3752e17191d41b8fa33f11314cfc2035fdd,907
0xbae805d3bd200bcc8bc295ff7a051462a9810035,926
0x1cc2c2b1492dc7d9fb752454612ab4499e438968,932
0xbe5deba62dba7f69977cda1d7740a07843c437b3,932
0xa2735521148ed5c4443db0fcdfc51eaa220ca675,945
0x40875d5bd1f0e87e2bc4b7d9b10e5080a46b4841,954
0x07944b3a256f40f05f6df74c1dc5a47abefc0828,956
0x60174f2518f693fd696161ebe2681ee66ee8d742,957
0x2a2b5ee4240bd0d7cc6b42248576609196536e3e,960
0x0450d0e88967a3a224d912666283dfa17f9f2590,976
0xfd7846f77e41bbdae1bce61b2bb361ee04216cb7,978
