user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0x8b1288d2b2e357d80ef8e01b1880d01f601e0917,100,0.167%,836.33,"1,000,000,000","500,000","59,785",,,,,,,,,,,,,
0xe75581c7efd17aff1aa2a13ab94d11ac7570be67,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x6dc4651c4799b8b012c525020e2eb7b087cd5167,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x97d84361104152305ca89bd94bcb5a489aa23b87,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3211524357aaa4eac8b6af450e7e9713aa5eeb86,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x381f0f06fd1796b73a88f4d637960c12856a1ba0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x7c945b48b0bbb207577f1d4e183b8fda377483da,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x23841cfb5daf7eb2ad840587ccd84f1498cebe39,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd59c846d29f0773a4b206c5d84e794ce079c4f9d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3e2f18e12fa3de657ce80e603ebd120443d77523,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x726434a7dd332b580bba133ca287872ac5a4d882,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x77a8f1e86804176f3c79661333e680d6d8c9a084,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x255ec4a7dfefeed4889dbeb03d7ac06adccc2d24,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe1b3264a2257247f8ba175395c564ed9e364ff4d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xdc448d92f6694e10c97c8b1623f69ab52fcdbb81,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf1442bd38022d93cc5ac5bcb11d41124c76295c8,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xcae2e56e83a8da68a97fc735a22be3127505b093,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa6a89eb48bc63ac54ac5b24486c1b15f8dc16ff0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x75d62f17e4d341e34ef5596146c774cac3ddcfd4,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x2c8770affcf029f4b62988817aa09ecedcaff30d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3ee27ab9464d932dc107a1fb38b8bd4e28f2802f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb7897f6271ad6d2d3857f61baae7dda760c88bb0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf8c5eabb6c415161d801b1cb5d0c0b33b336329a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x72c3c84d38ca5e3fed8e6498dba56902da62dbf5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa2d004db6f3494eea61b4ca88b3ee0c0c5973330,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xeb477ee31ee5ea6c85adeae02aade85699572e56,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa1f8c88901c5ce54c955082d8541330f959491c5,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x5e17e11b10afc2b4f6f33309805625f2bb92098d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x812b0fbc7104ae79b1573fa411570608c34e0584,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x69dd0af6171a93445b4781cb5ade2c7f03210ed1,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x40d41d63dc562df78a10c254fd7020cc05edc5ef,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xcf9686f5b8e7696acc52df88a0e68c551b955c4f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa95ed3f2961573f91e9446282d4fa2f8cc5b6dc0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x61bcd8d8c73fca45fb8ed8a895de19db0195a07e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x28a4d13e24bb9a5bb6629e393fc0bf63d88a8d36,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x86406f70f3d581d36952e5bef9e3542be5eac5ac,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xebcbea7bb67c4f787bb8fab178c0e466cb8e3d77,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf328d9bd5fe862119ad3c845d9ffa93f215f794d,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf4d864e4555f2e2e780668b5c5647da37eeea327,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xd436142c7ba90979fe549136583b7a598b10647c,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x4582cf5ef868e17be689cf209c1693641bb5b4c1,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x35ac68998911936d905a914e6bface4d38343ded,100,0.167%,836.33,,,,,,,,,,,,,,,,
