user_address,ui_pay_amount,P,LV aidrop,LV total,player total 0.04%,revenues,,,,,,,,,,,,,
0x255EC4A7dfefeed4889DbEB03d7aC06ADcCc2D24,"1,455,820",10.3202%,41280,"1,000,000,000","400,000","14,106,572",,,,,,,,,,,,,
0x8b1288D2b2e357d80EF8E01B1880D01f601e0917,"1,040,260",7.3743%,29497,,,,,,,,,,,,,,,,
0x100ee93639B5bB81cF1Fb694F3874Cc336439BC6,"682,780",4.8402%,19360,,,,,,,,,,,,,,,,
0x5e17E11B10aFc2b4f6f33309805625F2Bb92098D,"636,640",4.5131%,18052,,,,,,,,,,,,,,,,
0xB6ee138C1193B0E488D66218e70C1A07A2B59DbF,"636,460",4.5118%,18047,,,,,,,,,,,,,,,,
0xe1087b9E50d72BaA3176963Bb3b08395Ad3899A4,"556,320",3.9437%,15774,,,,,,,,,,,,,,,,
0xF8C5EABb6c415161D801B1CB5D0C0b33B336329A,"461,420",3.2710%,13083,,,,,,,,,,,,,,,,
0x7c945b48b0bBb207577f1D4E183B8fda377483da,"385,500",2.7328%,10931,,,,,,,,,,,,,,,,
0x502E46fCBDCf911F66cB8Ef0DBcb889E06f27Fe5,"380,400",2.6966%,10786,,,,,,,,,,,,,,,,
0x01b86AEEbCD1Ff94aC1195cFc8FD9e39dB24db45,"376,640",2.6700%,10679,,,,,,,,,,,,,,,,
0x97d84361104152305Ca89bD94bCB5a489aA23B87,"333,620",2.3650%,9459,,,,,,,,,,,,,,,,
0x381f0F06fd1796B73a88f4D637960c12856A1ba0,"238,760",1.6925%,6770,,,,,,,,,,,,,,,,
0xcF9686F5b8E7696Acc52Df88a0e68C551b955C4f,"238,080",1.6877%,6750,,,,,,,,,,,,,,,,
0x23841CFb5DaF7eb2Ad840587ccd84f1498CEbE39,"225,720",1.6001%,6400,,,,,,,,,,,,,,,,
0xD59c846D29f0773a4B206C5D84E794Ce079C4F9D,"224,000",1.5879%,6351,,,,,,,,,,,,,,,,
0x002B095309eAc2391E936FE72fC64b91c8a47F87,"167,900",1.1902%,4760,,,,,,,,,,,,,,,,
0x3097bfE7aE48454D04F19Fae50e159F871b7c9A0,"165,700",1.1746%,4698,,,,,,,,,,,,,,,,
0xEa16ED935d3BC2e636Cc8e4619597337E2c45490,"158,440",1.1232%,4492,,,,,,,,,,,,,,,,
0x311C8ba2599b64522605A32f656d3f15d6396a5D,"153,060",1.0850%,4340,,,,,,,,,,,,,,,,
0xec613Ab9A2Df9ca12AE0D690E95EFCB075505fF9,"150,140",1.0643%,4257,,,,,,,,,,,,,,,,
0x4AFb37574d5497Ae03e40Ed264a43597dc525399,"133,740",0.9481%,3792,,,,,,,,,,,,,,,,
0x69DD0aF6171A93445B4781Cb5adE2C7f03210ED1,"124,900",0.8854%,3541,,,,,,,,,,,,,,,,
0x28Af5ca8Be821cF1b72EE79608852b8AaD1B40E8,"119,980",0.8505%,3402,,,,,,,,,,,,,,,,
0xFb20296c74Fa81FFe62c55201079DC987D1a4EBb,"119,280",0.8456%,3382,,,,,,,,,,,,,,,,
0xB7897F6271aD6d2D3857f61Baae7DDA760C88Bb0,"114,820",0.8139%,3255,,,,,,,,,,,,,,,,
