owner_address,offchain_count,onchain_count,total_count,占比,LV aidrop,LV总量,空投总量0.01%,PUZZLE总量,,,,,,,,,
0x8b1288d2b2e357d80ef8e01b1880d01f601e0917,6198,0,6198,19.79%,19790,"1,000,000,000","100,000","31,318",,,,,,,,,
0x100ee93639b5bb81cf1fb694f3874cc336439bc6,4795,0,4795,15.31%,15310,,,,,,,,,,,,
0x455d52e9a9720d9ef3ac06dadec82d88de7dc0ae,0,1984,1984,6.34%,6335,,,,,,,,,,,,
0xe1087b9e50d72baa3176963bb3b08395ad3899a4,0,1587,1587,5.07%,5067,,,,,,,,,,,,
0x97d84361104152305ca89bd94bcb5a489aa23b87,0,1500,1500,4.79%,4789,,,,,,,,,,,,
0x81d8449ac9e26a3c673a5f09fcd6afa1dfddd008,0,1408,1408,4.50%,4495,,,,,,,,,,,,
0x41fe8e582137b9af967ffa4469067874a87c5ff5,1000,0,1000,3.19%,3193,,,,,,,,,,,,
0xe91656367a14cba5d330201e4e036ccc12f0f7e2,0,925,925,2.95%,2953,,,,,,,,,,,,
0x431e84afe1249c32306c546562fd2d220895e527,800,0,800,2.55%,2554,,,,,,,,,,,,
0x002b095309eac2391e936fe72fc64b91c8a47f87,0,718,718,2.29%,2292,,,,,,,,,,,,
0x23841cfb5daf7eb2ad840587ccd84f1498cebe39,0,625,625,2.00%,1995,,,,,,,,,,,,
0xa95ed3f2961573f91e9446282d4fa2f8cc5b6dc0,0,500,500,1.60%,1596,,,,,,,,,,,,
0x75d62f17e4d341e34ef5596146c774cac3ddcfd4,0,500,500,1.60%,1596,,,,,,,,,,,,
0x3a1cb9b55cff831ed9cfca4d37f006044daebddc,0,477,477,1.52%,1523,,,,,,,,,,,,
0xbbd4c232b3bac42db1313668f25ca216def21919,0,450,450,1.44%,1436,,,,,,,,,,,,
0xfb20296c74fa81ffe62c55201079dc987d1a4ebb,0,400,400,1.28%,1277,,,,,,,,,,,,
0x6a4102c912d76c213e8185ba9c1c6da49c23fdd4,0,400,400,1.28%,1277,,,,,,,,,,,,
0x5e17e11b10afc2b4f6f33309805625f2bb92098d,0,400,400,1.28%,1277,,,,,,,,,,,,
0xcf9686f5b8e7696acc52df88a0e68c551b955c4f,0,400,400,1.28%,1277,,,,,,,,,,,,
0xe75581c7efd17aff1aa2a13ab94d11ac7570be67,44,348,392,1.25%,1251,,,,,,,,,,,,
0xa3672d4c28065f6e0b7345b6b19933f22a58bb24,383,0,383,1.22%,1222,,,,,,,,,,,,
0x502e46fcbdcf911f66cb8ef0dbcb889e06f27fe5,0,300,300,0.96%,957,,,,,,,,,,,,
0xbad29a92ca1bedcd6c17b3917bcd38d71fd25370,0,300,300,0.96%,957,,,,,,,,,,,,
0xf8c5eabb6c415161d801b1cb5d0c0b33b336329a,0,286,286,0.91%,913,,,,,,,,,,,,
0x0d54e98680aa3f63d1d645a511f4bdac9eb26060,0,268,268,0.86%,855,,,,,,,,,,,,
0x6d22b9a1ab123ca53f6ab49305e999dd09ef8d95,0,265,265,0.85%,846,,,,,,,,,,,,
0x3097bfe7ae48454d04f19fae50e159f871b7c9a0,0,232,232,0.74%,740,,,,,,,,,,,,
0xb609de87a224d0ccbb20aea3e272f77fdbc5a548,218,0,218,0.70%,696,,,,,,,,,,,,
0xd59c846d29f0773a4b206c5d84e794ce079c4f9d,0,200,200,0.64%,638,,,,,,,,,,,,
0x2bce76d419a4ad4f47af7e0fca16cca118b60a47,0,200,200,0.64%,638,,,,,,,,,,,,
0x08299d244c21bee544808c911fd3dea59051ecc0,0,183,183,0.58%,584,,,,,,,,,,,,
0x87a55c3804ce3895bd737016245a6a99625a0927,173,0,173,0.55%,552,,,,,,,,,,,,
0xf328d9bd5fe862119ad3c845d9ffa93f215f794d,0,169,169,0.54%,539,,,,,,,,,,,,
0x3211524357aaa4eac8b6af450e7e9713aa5eeb86,0,150,150,0.48%,478,,,,,,,,,,,,
0xeee833ccd95a0927bf79f25136588bc9c7d0aa81,0,142,142,0.45%,453,,,,,,,,,,,,
0xa1f8c88901c5ce54c955082d8541330f959491c5,0,135,135,0.43%,431,,,,,,,,,,,,
0xcbe7ffc476ba77b20399f2834f0b4ad3396da1b3,130,0,130,0.42%,415,,,,,,,,,,,,
0xff75b36bfe23d5a19a4970d931b21cb9f0398a0a,0,127,127,0.41%,405,,,,,,,,,,,,
0x8a18d98e472149223fabd44ca7f66dab8aeea8d6,115,0,115,0.37%,367,,,,,,,,,,,,
0x40d41d63dc562df78a10c254fd7020cc05edc5ef,0,105,105,0.34%,335,,,,,,,,,,,,
0x3681acc679a2276b05570a704affbc9c3528374a,0,102,102,0.33%,325,,,,,,,,,,,,
0x3d0de3a76cd9f856664dc5a3adfd4056e45da9ed,100,0,100,0.32%,319,,,,,,,,,,,,
0x79193bc6b862495ea43d04aa75c8c8ba934bbb91,100,0,100,0.32%,319,,,,,,,,,,,,
0xd7c051b9940a81566b9b940d7b7daf8455a3997b,0,100,100,0.32%,319,,,,,,,,,,,,
0x4b43ac2007244b53ce0e7683d66d2a6d6e1c12c8,0,100,100,0.32%,319,,,,,,,,,,,,
0x61a16e3876ff81bc6eefe210408a711fbc3aea50,0,100,100,0.32%,319,,,,,,,,,,,,
0xfa07eb87eb5a5e9e418f0a4111a39735b4b87c3b,0,100,100,0.32%,319,,,,,,,,,,,,
0x5126fb26de8b96778fd5de5fa8003649a404cb13,0,100,100,0.32%,319,,,,,,,,,,,,
0x66e38b9aaca068cd2aec64fc662278ed20226c64,99,0,99,0.32%,316,,,,,,,,,,,,
0x07d01e637bf044cc8f02a72e263a8e9858a95571,0,77,77,0.25%,245,,,,,,,,,,,,
0x34c337f7f6e4dd1cc6ae5f16aa769bef2a6ba8a1,0,63,63,0.20%,201,,,,,,,,,,,,
0x1cc2c2b1492dc7d9fb752454612ab4499e438968,0,60,60,0.19%,191,,,,,,,,,,,,
0xf57875c9ba562a59cc0a0891bc19ba0fccd24580,0,60,60,0.19%,191,,,,,,,,,,,,
0xb76e517d1c7e2ea6b12f1584b7737f1bb12a8625,0,58,58,0.19%,185,,,,,,,,,,,,
0x0f6fe18da8f7d02d7b78966bbd0c3fd4043ec234,0,48,48,0.15%,153,,,,,,,,,,,,
0xa507bfc946403b8a4774a023141c4457949ddd6e,0,47,47,0.15%,150,,,,,,,,,,,,
0xab8e6797069d94c6aa91fd0996550857dab2f00c,0,42,42,0.13%,134,,,,,,,,,,,,
0x6ebeb76ec2d7195350cb8f67caab206bb309921a,41,0,41,0.13%,130,,,,,,,,,,,,
0xd436142c7ba90979fe549136583b7a598b10647c,39,0,39,0.12%,124,,,,,,,,,,,,
0xb1ba3f3c3daddaff91a96f01e1f39e5993ba6e7f,27,0,27,0.09%,86,,,,,,,,,,,,
0x8c70bcddc399bd4df60cbf894137cd66109e9bdf,0,27,27,0.09%,86,,,,,,,,,,,,
0x5181c3bef855dab2a98ea228ca2f0e524dd009f7,0,27,27,0.09%,86,,,,,,,,,,,,
0xf3380c706b608292a5627863ab552f28de45dfd6,0,23,23,0.07%,73,,,,,,,,,,,,
0x3e54254c7b17de07e0dfe9034cb0f148b69207e3,20,0,20,0.06%,63,,,,,,,,,,,,
0xfffbd9696ac695f214f989fef439136878929d54,0,20,20,0.06%,63,,,,,,,,,,,,
0x179a6b094b6e3a430a4540b62748ef0b7a238994,17,0,17,0.05%,54,,,,,,,,,,,,
0xedfee97c534b50a8b01fcd30989b1594b1ca471c,0,16,16,0.05%,51,,,,,,,,,,,,
0xf7e1fd41fcc15f15d4b65d36b76ce0ea0d43249d,0,16,16,0.05%,51,,,,,,,,,,,,
0xaa14c0aa277c1ac8fdae9d76ccfe7eb0ecaf3d0d,15,0,15,0.05%,47,,,,,,,,,,,,
0xa4908aa456f9f1c350b7dade96e505835acf4195,0,11,11,0.04%,35,,,,,,,,,,,,
0xc6be74c82be8b06b24850b988a5e9f3043e6c4c6,0,10,10,0.03%,31,,,,,,,,,,,,
0x28a4d13e24bb9a5bb6629e393fc0bf63d88a8d36,0,10,10,0.03%,31,,,,,,,,,,,,
0x8d0dcdf6a1c7729659761acfc85ec7db6c3ae814,0,10,10,0.03%,31,,,,,,,,,,,,
0x0895b09824d0c7e663c32703ac8c0db9bffedf8b,0,10,10,0.03%,31,,,,,,,,,,,,
0xadb9d864bddde2f12f6494c6a4e07a6f0010f8ba,9,0,9,0.03%,28,,,,,,,,,,,,
0x5abc6cbbe1b0856340694d7f45559953e79f1094,0,9,9,0.03%,28,,,,,,,,,,,,
0x4e6c47938e8234d381ecdda0d69bfb3f03375312,7,0,7,0.02%,22,,,,,,,,,,,,
0xdc448d92f6694e10c97c8b1623f69ab52fcdbb81,0,7,7,0.02%,22,,,,,,,,,,,,
0x0834fc7788b692de5a96c0d1ea55b5d6f2af51e1,0,6,6,0.02%,19,,,,,,,,,,,,
0xc39d3f403a81b334f806c9441eb51b776f969a47,0,6,6,0.02%,19,,,,,,,,,,,,
0xdbd91e16ec6fb4e7cdaff78a017277f382161d71,5,0,5,0.02%,15,,,,,,,,,,,,
0xcc6d3d5c761d31815f653e185d8328e9be7e631b,0,4,4,0.01%,12,,,,,,,,,,,,
0xf7f5688e58bf6d798afcde0934b4b9185b8cebc9,3,0,3,0.01%,9,,,,,,,,,,,,
0x1de57dfcc2a3adf13cf349f04ae5b99ddabb8e2c,0,3,3,0.01%,9,,,,,,,,,,,,
0x8f8984056a112973bcfaf4aa78a72ff28e06b4f4,2,0,2,0.01%,6,,,,,,,,,,,,
0x8d5d9a0d0c16ff2ee18b5efe8d8d570feda42ec0,0,2,2,0.01%,6,,,,,,,,,,,,
0x1b82aa6cee182f369e6cf9a72f7711ea26d29206,0,2,2,0.01%,6,,,,,,,,,,,,
0x2c0a9da1a97555107d7e5dd46870f9a53ae2d42d,0,2,2,0.01%,6,,,,,,,,,,,,
0x79dd42b7cf5014f31fd3874e4539fab01475d8c9,0,2,2,0.01%,6,,,,,,,,,,,,
